No_,Easting,Northing,Postcode,Name,Address,Notes,
71,531761,175530, ,Loughborough Park, ,Park,
72,528949,175474,SW40QY,Macaulay Square,MACAULAY SQUARE,Lambeth Housing,
73,530179,175464,SW47SF,Colcutt Lodge, Ferndale Road,Metropolital Housing Trust-led food growing project,Housing association
74,532250,175438,SE240AY,St. Saviours School, ,School,
75,528774,175436,SW40NU,Cedars Estate Organic Garden,Cetra Housing Co-op Ltd,Housing association,
76,531808,175242,SE240QN,Evelyn Grace Academy Community Garden,,School,
77,531605,175207,SW98QT,Moorlands Estate,Nature Garden and Allotments - Metropolian Housing,Housing association,
78,531094,175152,SW21EP,Vida Walsh centre,Windrush Square,Charity,
79,530141,175146,SW4 7PA,Iqra Primary School,,School,
80,531792,175127,SE240PZ,LB Lambeth Waste Depot,Shakespeare Road,Lambeth,
81,531300,175023,SW2 1BS,Bankton Road Community Garden,Community gardening and compoting amongst six houses,Private,
82,529412,174984,SW4 9QU,Notre Dame Estate,,Lambeth Housing,
83,530672,174907,SW25AP,Sudbourne Primary School,Sudbourne Primary School,School,
84,531462,174896,SE240LG,Effra Nature Garden,Nature Garden,Park,
85,530947,174789,SW2 1SS,St Matthews Estate ,,Lambeth Housing,
86,530745,174739,SW21QS,Lambeth College,Herb garden and food growing space linked to kitchen,Private,
87,530995,174713,SW21LT,Brixton Thames Water allotments,Long-standing allotments,Allotments,
88,530623,174694,SW2 5BL,Corpus Christi School on Brixton Hill.,,School,
89,529124,174693,SW49DS,Wakeford Close,Metropolital Housing Trust-led food growing project,Housing association,
90,532159,174674,SE249QP,Herne Hill NHS surgery, ,GP Surgery,
91,530989,174596,SW21PB,BLIP at Waldron House,Waldron Housing Estate,Private,
92,530953,174553,SW22LA,Cultivating Company,Josephine Avenue food growing project,Private,
93,531752,174511,SE24 0EL,St Judes School,Church school - technically a nature garden,School,
94,530501,174474,SW25DA,Blenheim Gardens,Edible Estate with allotments,Lambeth,
95,530938,174447,SW22JJ,Project Frost,19B Helix Gardens,Private,
96,530548,174361,SW2,Brixton Flour,Windmill Gardens,Park,
97,530738,174334,SW2 1AD,The Incredible Edible Gardens on Brixton Hill,Raleigh Gardens,Private,
98,531108,174289,SW22JE,Jubilee Primary School,Jubilee garden project,School,
99,531232,174274,SW2 2HX,Tulse Hill Estate Children's Organic Garden,,Lambeth Housing,
100,529671,174267,SW48JH,Metropolitan Housing Partnership - Bateman Mews,off Rathmell Road,Housing association,
101,531137,174219,SW22JB,Our Garden,Tulse Hill Estate,Lambeth Housing,
102,530543,174177,SW21EZ,Childrens Organic Garden Renton Close,3 year project on Renton Close,Lambeth Housing,
103,531516,174069,SE24,Brockwell Park Community Greenhouses,Long-standing project in former park greenhouses,Park,
104,530801,174017,SW2 2AH,Somers Place Community Garden,,Private,
105,532031,173927,SE249AE,Cressingham Gardeners,Cressingham Gardens Estate,Lambeth Housing,
106,532031,173927,SE249AE,New Leaf at Brockwell Park Surgery,,GP surgery,
107,529515,173921,SW120AH,Agnes Riley Gardens,park on corner of Poynders Road and Clarence Road (in NW corner of park),Park,
108,530740,173735,SW22RW,Holmewood Nursery School and Treehouse Children's Centre,Holmewood Nursery School,School,
109,531805,173308,SE24 9AQ,South London Botanical Institute, ,Charity,
110,530839,173535,SW22RR,Hamers House Gardening Club,Metropolital Housing Trust-led food growing project,Housing association,
111,532223,173532,SE218LR,Lambeth Family Link Community Allotment Project,Rosendale Road,Charity,
112,532223,173532,SE218LR,Father Nature @ Rosendale Allotments,,Charity,
113,532223,173532,SE218LR,Rosendale Road Allotments,New education centre currently being developed,Allotments,
114,531606,173512,SW22BF,Frederica House Gardening project,New food growing project,Lambeth Housing,
115,529692,173422,SW120LF,St. Bede's Roman Catholic Nursery and Infant School,Thornton Road,School,
116,529164,173386,SW120JA,Going for Green @ Henry Cavendish Primary School ,,School,
117,531466,173379,SW23UP,Fork to Fork, St Martins-in-the-Fields High School for Girls,St Martins-in-the-Fields High School for Girls,School
118,530175,173291,SW24QH,Tierney Road,Community Garden,Transport,
119,530815,173217,SW2 3EA,Palace  Project Community Gardens,,Lambeth Housing,
120,531198,173161,SW23PW,Fenstanton Primary School,Sensory Garden,School,
121,530758,173139,SW23NX,Metropolitan Housing Partnership - Arborfield Close,Tulse Hill,Housing association,
122,531136,172803,SW123HL,Hillside Gardens Community Allotment,Hillside Gardens Park,Park,
123,532492,172531,SE218BJ,Lotus Garden, Lotus Close,Metropolital Housing Trust-led food growing project,Housing association
124,532396,172522,SE27 9JU,L'Arche Gardens,Norwood Hight Street,Charity,
125,530120,172387,SW161NQ,Streatham Court,Lambeth Mencap Pathways Gardening Project,Private,
126,529564,172285,SW161AW,Streatham and Clapham school,New food growing space 2010,School,
127,531896,172250,SE279AA,West Norwood Behind The Florist's,368 Norwood Road,Private,
128,532700,172024,SE279RR,Elmwood Primary School Permaculture Project,,School,
129,532832,172012,SE218BU,Emmanuel Church,,Faith,
130,531909,171937,SE270DB,Emmaus South Lambeth,9 Knights Hill,Chairty,
131,530997,171857,SW162TB,Unigate Woods,New orchard,Park,
132,530351,171802,SW162UG,Sunnyhill Road community allotments,Council land  given to local residents to develop as allotments,Private,
133,532226,171780,SE279XH,James Alleyn community garden and PELO grounds,Linked to Barnaby Shaw and growing for bees,School,
134,531160,171698,SW162RB,Julian's Primary School,Julian's Allotment,School,
135,530683,171654,SW162UN,Streatham Common Food Up Front Gardens,Two back gardens used as community gardens,Private,
136,532683,171299,SE27,Norwood Park,Community Food Project,Park,
137,531572,171168,SE270QH,Lakeview Road Community Garden ,Portobello Estate,Lambeth Housing,
138,532312,171160,SE270HJ,Elderwood Green and Growing,Behind Stable Mews,Private,
139,531114,170882,,Streatham Common Community Garden,,Park,
140,530359,170508,SW16 3NP,Baldry Gardens,,GP Surgery,
141,528991,170445,SW16 6PF,Slade Gardeners, Slade Gardens Play Association,,Park
142,529325,169992,SW165AN,Granton Primary School,,School,
